"Protein Accession","DNA Accession","ARO Name","ARO Accession"
YP_002771144.1,NC_012491,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
BAO79518.1,AB917040,FosK,ARO:3003207
CWV56762.1,FFFO01000009.1,FosX,ARO:3000198
CAA54602.1,X77455,FOX-1,ARO:3002155
AGE45503.1,JX049131,FOX-10,ARO:3002162
CAA71325.1,Y10282,FOX-2,ARO:3002156
CAA71947.1,Y11068,FOX-3,ARO:3002157
CAB89086.1,AJ277535,FOX-4,ARO:3002158
AAG12974.1,AY007369,FOX-5,ARO:3002159
CAG28256.1,AJ703795,FOX-7,ARO:3002160
ADK73994.1,HM565917,FOX-8,ARO:3002161
AEK78851.1,JF896803,FOX-9,ARO:3002163
AAL12234.1,AY047358,fusB,ARO:3003552
WP_001033157,NC_002953,fusC,ARO:3003733
WP_011303797,NZ_CP014057,fusD,ARO:3003731
CAA90432.1,Z50108,fusH,ARO:3003026
CAA86211.1,Z38064.1,fyuA,ARO:3003833
NP_417969.1,NC_000913.3,gadE,ARO:3003834
ANK04027.1,CP015085.1,gadW,ARO:3003838
YP_491919.1,NC_007779,gadX,ARO:3000508
AAF27723.1,AF156486,GES-1,ARO:3002330
ACS73598.1,FJ820124,GES-10,ARO:3002339
ACS44714.1,FJ854362,GES-11,ARO:3002340
CBG22732.1,FN554543,GES-12,ARO:3002341
ACZ54536.1,GU169702,GES-13,ARO:3002342
ADC91899.1,GU207844,GES-14,ARO:3002343
ACZ98826.1,GU208678,GES-15,ARO:3002344
ADJ94120.1,HM173356,GES-16,ARO:3002345
ADZ48685.1,HQ874631,GES-17,ARO:3002346
AEX59144.1,JQ028729,GES-18,ARO:3002347
AEZ05107.1,JN596280,GES-19,ARO:3002348
AAK58421.1,AF326355,GES-2,ARO:3002331
AEZ05108.1,JN596280,GES-20,ARO:3002349
AFK80745.1,JQ772478,GES-21,ARO:3002350
AFU25739.1,JX023441,GES-22,ARO:3002351
AGT20529.1,KF179354,GES-23,ARO:3002352
BAP75641.1,AB901141,GES-24,ARO:3002353
AJP67510.1,KP096411,GES-26,ARO:3003181
BAD06399.1,AB113580,GES-3,ARO:3002332
BAD08689.1,AB116260,GES-4,ARO:3002333
AAR97270.1,AY494717,GES-5,ARO:3002334
AAR97271.1,AY494718,GES-6,ARO:3002335
AAP22974.1,AY260546,GES-7,ARO:3002336
AAK18183.1,AF329699,GES-8,ARO:3002337
AAY43207.1,AY920928,GES-9,ARO:3002338
CAF05908.1,AJ620678,GIM-1,ARO:3000845
AIY26289.1,KM659858,GIM-2,ARO:3003194
CAA11707.1,AJ223970,"gimA glycosyltransferase",ARO:3000463
AAF04458.1,AF090141,"GOB-1 beta-lactamase",ARO:3000850
NP_459349.1,NC_003197,golS,ARO:3000504
WP_014065640.1,NC_015964.1,"Haemophilus parainfluenzae gyrA conferring resistance to fluoroquinolones",ARO:3003924
WP_041918279.1,NC_015964.1,"Haemophilus parainfluenzae parC conferring resistance to fluoroquinolones",ARO:3003925
,KY084523.1,"Halobacterium salinarum 16S rRNA mutation conferring resistance to pactamycin",ARO:3003977
,CP003904.1,"Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline",ARO:3003510
WP_014550864.1,NC_017452.1,hmrM,ARO:3003953
NP_309766.1,NC_002695,H-NS,ARO:3000676
NP_207972.1,NC_000915.1,hp1181,ARO:3003964
NP_207975.1,NC_000915.1,hp1184,ARO:3003965
AAA93461.1,U50278,IMI-1,ARO:3001858
ABA00479.1,DQ173429,IMI-2,ARO:3001859
ACX71212.1,GU015024,IMI-3,ARO:3001860
AHE78014.1,KF958750,IMI-4,ARO:3001861
AIS19858.1,KM103296,IMI-7,ARO:3003177
CAD69003.1,AJ548797,imiH,ARO:3003094
CAA71441.1,Y10415,imiS,ARO:3003095
CAA11471.1,AJ223604,IMP-1,ARO:3002192
BAB72069.1,AB074433,IMP-10,ARO:3002201
BAB72072.1,AB074436,IMP-11,ARO:3002202
CAD12765.1,AJ420864,IMP-12,ARO:3002203
CAD80251.1,AJ550807,IMP-13,ARO:3002204
AAT49068.1,AY553332,IMP-14,ARO:3002205
AAT49070.1,AY553333,IMP-15,ARO:3002206
CAE48334.1,AJ584652,IMP-16,ARO:3002207
AEQ73520.1,JN596991,IMP-18,ARO:3002209
ABM67078.1,EF118171,IMP-19,ARO:3002210
CAB94707.1,AJ243491,IMP-2,ARO:3002193
BAD81061.1,AB196988,IMP-20,ARO:3002211
BAD89802.1,AB204557,IMP-21,ARO:3002212
ABC88434.1,DQ361087,IMP-22,ARO:3002213
ABM68358.1,EF192154,IMP-24,ARO:3002215
ACB41775.1,EU541448,IMP-25,ARO:3002216
ACY01749.1,GU045307,IMP-26,ARO:3002217
AEH41427.1,JF894248,IMP-27,ARO:3002218
AFG73659.1,JQ407409,IMP-28,ARO:3002219
AFG25462.1,JQ041634,IMP-29,ARO:3002220
BAA77393.1,AB010417,IMP-3,ARO:3002194
ABF70513.1,DQ522237,IMP-30,ARO:3002221
AGS82587.1,KF148593,IMP-31,ARO:3002222
AFR33816.1,JQ002629,IMP-32,ARO:3002223
AEU17778.1,JN848782,IMP-33,ARO:3002224
BAM38093.1,AB715422,IMP-34,ARO:3002225
AFO59566.1,JF816544,IMP-35,ARO:3002226
AFP97028.1,JX131372,IMP-37,ARO:3002228
AEN75249.1,HQ875573,IMP-38,ARO:3002229
AAK13078.1,AF244145,IMP-4,ARO:3002195
BAM62794.1,AB753457,IMP-40,ARO:3002231
BAM62795.1,AB753458,IMP-41,ARO:3002232
BAM62793.1,AB753456,IMP-42,ARO:3002233
BAM98935.1,AB777500,IMP-43,ARO:3002234
BAM98942.1,AB777501,IMP-44,ARO:3002235
AIA58910.1,KJ510410,IMP-45,ARO:3002236
AAK13430.1,AF322577,IMP-47,ARO:3002238
AIT76110.1,KM087857,IMP-48,ARO:3002239
AAK27847.1,AF290912,IMP-5,ARO:3002196
BAQ56016.1,LC031883,IMP-51,ARO:3003659
BAB15941.1,AB040994,IMP-6,ARO:3002197
AAK12087.1,AF318077,IMP-7,ARO:3002198
AAK13430.1,AF322577,IMP-8,ARO:3002199
AAK59385.1,AY033653,IMP-9,ARO:3002200
AAD20273.1,AF099139,IND-1,ARO:3002256
ADA13241.1,GU206353,IND-10,ARO:3002266
ADK25050.1,HM245379,IND-11,ARO:3002267
ADK25051.1,HM245380,IND-12,ARO:3002268
ADK38716.1,HM367709,IND-14,ARO:3002269
BAJ14288.1,AB563173,IND-15,ARO:3002270
AAG29757.1,AF219127,IND-2,ARO:3002257
AAG29760.1,AF219130,IND-2a,ARO:3002258
AAG29761.2,AF219131,IND-3,ARO:3002259
AAG29765.2,AF219135,IND-4,ARO:3002260
AAS78754.1,AY504627,IND-5,ARO:3002261
CAJ32373.2,AM087455,IND-6,ARO:3002262
BAJ05825.1,AB529520,IND-7,ARO:3002263
ACZ65152.1,GU186044,IND-8,ARO:3002264
ACZ65153.1,GU186045,IND-9,ARO:3002265
AAB41059.1,U56415,iri,ARO:3002884
AAK38324.1,AY028464,"JOHN-1 beta-lactamase",ARO:3000840
NP_415222.1,NC_000913.3,kdpE,ARO:3003841
BAF91108.1,AB364006,"KHM-1 beta-lactamase",ARO:3000847
CDO13981.1,FO834906.1,"Klebsiella mutant PhoP conferring antibiotic resistance to colistin",ARO:3003585
YP_005226137.1,NC_016845.1,"Klebsiella OmpK35 conferring resistance to beta-lactam",ARO:3003966
YP_005228001.1,NC_016845.1,"Klebsiella OmpK36 conferring resistance to beta-lactam",ARO:3003968
ABR75897.1,CP000647,"Klebsiella pneumoniae acrR mutant resulting in high level antibiotic resistance",ARO:3003373
ABR76005.1,CP000647,"Klebsiella pneumoniae ramR mutants",ARO:3003380
ACS35345.1,GQ140348,KPC-10,ARO:3002320
ADH95186.1,HM066995,KPC-11,ARO:3002321
ADZ75467.1,HQ641421,KPC-12,ARO:3002322
AEA73284.1,HQ342889,KPC-13,ARO:3002323
AFV48348.1,JX524191,KPC-14,ARO:3002324
AGF70638.1,KC433553,KPC-15,ARO:3002325
AGJ01153.1,KC465199,KPC-16,ARO:3002326
AGJ01154.1,KC465200,KPC-17,ARO:3002327
AIH07017.1,KJ775801,KPC-19,ARO:3002329
AAK70220.1,AY034847,KPC-2,ARO:3002312
AIX87991.1,KM379100,KPC-22,ARO:3003180
AAL05630.1,AF395881,KPC-3,ARO:3002313
AAU06362.1,AY700571,KPC-4,ARO:3002314
ABY91240.1,EU400222,KPC-5,ARO:3002315
ACB71165.1,EU555534,KPC-6,ARO:3002316
ACE62798.1,EU729727,KPC-7,ARO:3002317
ACI95258.1,FJ234412,KPC-8,ARO:3002318
ACM91559.1,FJ624872,KPC-9,ARO:3002319
CAB75346.1,AJ272109,"L1 beta-lactamase",ARO:3000582
CAA55007.1,X78117,LAT-1,ARO:3001857
CAA40146.1,X56809,LCR-1,ARO:3002997
CAA28198.1,X04515,LEN-1,ARO:3002454
CAG25830.1,AJ635419,LEN-10,ARO:3002460
CAG25828.1,AJ635417,LEN-11,ARO:3002461
CAG25817.1,AJ635406,LEN-12,ARO:3002462
CAG25814.1,AJ635403,LEN-13,ARO:3002463
AAP93847.1,AY265889,LEN-14,ARO:3002477
AAL50725.1,AF452105,LEN-15,ARO:3002478
AAU89706.1,AY743416,LEN-16,ARO:3002464
CAP12346.2,AM850908,LEN-18,ARO:3002465
CAP12347.2,AM850909,LEN-19,ARO:3002466
AAK69830.1,AY037780,LEN-2,ARO:3002455
CAP12348.2,AM850910,LEN-20,ARO:3002467
CAP12349.2,AM850911,LEN-21,ARO:3002468
CAP12350.2,AM850912,LEN-22,ARO:3002469
CAP12351.2,AM850913,LEN-23,ARO:3002470
CAP12352.2,AM850914,LEN-24,ARO:3002471
WP_025712239,NG_049281,LEN-26,ARO:3002474
AAN05030.1,AY130286,LEN-3,ARO:3002475
AAN05031.1,AY130287,LEN-4,ARO:3002472
AAU25807.1,AY633109,LEN-5,ARO:3002456
AAP93848.1,AY265890,LEN-6,ARO:3002476
CAG25836.1,AJ635425,LEN-7,ARO:3002457
CAG25835.1,AJ635424,LEN-8,ARO:3002458
CAG25834.1,AJ635423,LEN-9,ARO:3002459
NP_414618.4,NC_000913.3,leuO,ARO:3003843
AAA26652.1,M14039,linA,ARO:3000272
AFU35066.1,JX560992,linB,ARO:3000275
YP_724467.1,NC_007682,linG,ARO:3002879
NP_465220,NC_003210,"Listeria monocytogenes mprF",ARO:3003770
CAB12062.1,AL009126,lmrA,ARO:3003028
KIX81495.1,JYFL01000006.1,lmrB,ARO:3002813
ABF66011.1,DQ516954,lmrC,ARO:3002881
ABF66027.1,DQ516970,lmrD,ARO:3002882
ABF33001.1,CP000259.1,lmrP,ARO:3003969
CAL44992.1,AM399080,lnuA,ARO:3002835
AGI42804.1,KC688833,lnuB,ARO:3002836
AAY32951.1,AY928180,lnuC,ARO:3002837
ABR14060.1,EF452177,lnuD,ARO:3002838
AGT57825,KF287643,lnuE,ARO:3003762
CAD91132.1,AJ561197,lnuF,ARO:3002839
AJF82049.1,CP010781.1,LpxA,ARO:3003573
AJF83452.1,CP010781.1,LpxC,ARO:3003574
AJF82051.1,CP010781.1,LpxD,ARO:3003575
ACH58980.1,EU408346,LRA-1,ARO:3002482
ACH58999.1,EU408357.1,LRA-10,ARO:3002489
ACH58990.1,EU408351,LRA-12,ARO:3002511
ACH58991.1,EU408352,LRA-13,ARO:3002484
ACH58994.1,EU408354,LRA-17,ARO:3002512
ACH58997.1,EU408355,LRA-18,ARO:3002492
ACH59005.1,EU408359,LRA-19,ARO:3002513
ACH58985.1,EU408347,LRA-2,ARO:3002485
ACH58987.1,EU408348,LRA-3,ARO:3002510
ACH59002.1,EU408358,LRA-5,ARO:3002483
ACH58998.1,EU408356.1,LRA-7,ARO:3002486
ACH58988.1,EU408349,LRA-8,ARO:3002487
ACH58989.1,EU408350,LRA-9,ARO:3002488
AAC43550.1,U40487.1,lrfA,ARO:3003967
AAT46077.1,AY587982,lsaA,ARO:3000300
NP_899166.1,NC_005076,lsaB,ARO:3003111
AEA37904.1,HM990671,lsaC,ARO:3003112
AFU35065.1,JX560992,lsaE,ARO:3003206
AAV85981.1,AY768531,macA,ARO:3000533
AAV85982.1,AY768532,macB,ARO:3000535
YP_489794.1,NC_007779,marA,ARO:3000263
AKF16168,KP347127,MCR-1,ARO:3003689
AFH35853.1,JQ394987,mdfA,ARO:3001328
NP_459347.2,NC_003197,mdsA,ARO:3000789
NP_459346.1,NC_003197,mdsB,ARO:3000790
NP_459345.2,NC_003197,mdsC,ARO:3000791
AAC75135.2,U00096,mdtA,ARO:3000792
AAC75136.1,U00096,mdtB,ARO:3000793
AAC75137.1,U00096,mdtC,ARO:3000794
AAC75138.1,U00096,mdtD,ARO:3001330
BAE77781.1,AP009048,mdtE,ARO:3000795
AAC76539.1,U00096,mdtF,ARO:3000796
YP_489321.1,NC_007779,mdtG,ARO:3001329
AAC74149.2,U00096,mdtH,ARO:3001216
AML99881.1,CP014358.1,mdtK,ARO:3001327
AAC76733.1,U00096,mdtL,ARO:3001215
AAC77293.1,U00096,mdtM,ARO:3001214
BAE78084.1,AP009048,mdtN,ARO:3003548
BAE78083.1,AP009048,mdtO,ARO:3003549
BAE78082.1,AP009048,mdtP,ARO:3003550
AGC51118.1,KC243783,mecA,ARO:3000617
BAI83385.1,AB498758,mecB,ARO:3003440
WP_000725529.1,NC_017349.1,mecC,ARO:3001209
NP_373280.1,NC_002745,mecI,ARO:3000124
YP_001245420.1,NC_009487,mecR1,ARO:3000215
YP_008997285.1,NC_023287,mefA,ARO:3000615
ACJ63262.1,FJ196385,mefB,ARO:3003107
BAL43360,AB571865,mefC,ARO:3003745
NP_358565.1,NC_003098,mefE,ARO:3000614
YP_002743273.1,NC_012469,mel,ARO:3000616
CCQ20405.1,HE999704,mepA,ARO:3000026
AAU95768.1,AY661734.1,mepA,ARO:3000026
YP_001440920.1,NC_009782,mepR,ARO:3000746
NP_249116.1,NC_002516,mexA,ARO:3000377
AAA74437.1,L11616,mexB,ARO:3000378
AAB41956.1,U57969,mexC,ARO:3000800
NP_253288.1,NC_002516,mexD,ARO:3000801
AAB41957.1,U57969,mexD,ARO:3000801
NP_251183.1,NC_002516,mexE,ARO:3000803
NP_251184.1,NC_002516,mexF,ARO:3000804
NP_252894.1,NC_002516,mexG,ARO:3000806
NP_252895.1,NC_002516,mexH,ARO:3000807
NP_252896.1,NC_002516,mexI,ARO:3000808
NP_252367.1,NC_002516.2,mexJ,ARO:3003692
AAG07064.1,AE004091.2,mexK,ARO:3003693
NP_252368.1,AE004091.2,mexL,ARO:3003710
BAE06005.1,AB219523.1,mexM,ARO:3003704
BAE06006.1,AB219523.1,mexN,ARO:3003705
BAE06007.1,AB219524.1,mexP,ARO:3003698
BAE06008.1,AB219524.1,mexQ,ARO:3003699
NP_249115.1,NC_002516,mexR,ARO:3000506
ADT64081.1,HQ433550,mexS,ARO:3000813
YP_001707639.1,NC_010400,mexT,ARO:3000814
AAG07762.1,AE004091.2,mexV,ARO:3003030
AAG07763.1,NC_002516.2,mexW,ARO:3003031
BAA34299.1,AB015853,mexX,ARO:3003034
BAA34300.1,AB015853,mexY,ARO:3003033
NP_250710.1,NC_002516.2,mexZ,ARO:3003709
NP_415632.1,NC_000913.3,mfd,ARO:3003844
CCP46182.1,AL123456,mfpA,ARO:3003035
YP_003281576.1,NC_013450,mgrA,ARO:3000815
NP_416340.1,NC_000913.3,mgrB,ARO:3003820
ABA28305.2,DQ185434,mgt,ARO:3000462
AAD22636.1,M37839,MIR-1,ARO:3002166
AIT76111.1,KM087858,MIR-10,ARO:3002175
AIT76112.1,KM087859,MIR-11,ARO:3002176
AIT76116.1,KM087863,MIR-12,ARO:3002177
AIT76115.1,KM087862,MIR-13,ARO:3002178
AIT76117.1,KM087864,MIR-14,ARO:3002179
AIT76104.1,KM087851,MIR-15,ARO:3002180
AIT76114.1,KM087861,MIR-16,ARO:3002181
CEA29752.1,LN515535,MIR-17,ARO:3003173
AAO42602.1,AY227752,MIR-2,ARO:3002168
AAU95779.1,AY743435,MIR-3,ARO:3002169
ABN69112.2,EF417572,MIR-4,ARO:3002167
AJO16037.1,KP050484,MIR-5,ARO:3002170
AFJ79785.1,JQ664733,MIR-6,ARO:3002171
ACJ05687.1,FJ237367,MIR-8,ARO:3002173
AIT76113.1,KM087860,MIR-9,ARO:3002174
YP_007503908.1,NC_020418,"Morganella morganii gyrB conferring resistance to fluoroquinolone",ARO:3003306
BAA02563.2,D13304,MOX-1,ARO:3002182
CAB82578.1,AJ276453,MOX-2,ARO:3002183
ACA30419.1,EU515248,MOX-3,ARO:3002186
ACI89425.1,FJ262599,MOX-4,ARO:3002184
ACS44783.1,GQ152600,MOX-5,ARO:3002188
ACS44784.1,GQ152601,MOX-6,ARO:3002185
ACS44785.1,GQ152602,MOX-7,ARO:3002189
AGH56079.1,JX173956,MOX-8,ARO:3002190
WP_042649345,NG_049322,MOX-9,ARO:3002191
CAG27791.1,AJ698325,mphA,ARO:3000316
BAA12910.1,D85892,mphB,ARO:3000318
CAJ51085.1,AM180066,mphC,ARO:3000319
WP_010550189.1,NZ_AGSO01000004,mphE,ARO:3003071
BAL43359,AB571865,mphG,ARO:3003742
AAS13767.1,AY522923.1,Mrx,ARO:3003839
NP_415434.1,NC_000913.3,msbA,ARO:3003950
AJP77057,KP109676,MSI-1,ARO:3003718
AJP77058,KP109676,MSI-OXA,ARO:3003719
CCQ20328.1,HE999704,msrA,ARO:3000251
AAK01167.1,AF313494,msrC,ARO:3002819
YP_724476.1,NC_007682,msrE,ARO:3003109
CCP46065.1,AL123456,mtrA,ARO:3000816
NP_274719.1,NC_003112,mtrC,ARO:3000810
NP_274718.1,NC_003112,mtrD,ARO:3000811
CAA64891.1,X95635,mtrE,ARO:3000812
YP_002002225.1,NC_011035,mtrR,ARO:3000817
CAA53189,X75439,mupA,ARO:3000521
AEY83581,JQ231224,mupB,ARO:3000510
AAN63647.1,AF441286,"MUS-1 beta-lactamase",ARO:3000843
WP_063860852,NG_049325,"MUS-2 beta-lactamase",ARO:3003842
,CU458896.1,"Mycobacterium abscessus 16S rRNA mutation conferring resistance to amikacin",ARO:3003239
,CU458896.1,"Mycobacterium abscessus 16S rRNA mutation conferring resistance to gentamicin",ARO:3003240
,CU458896.1,"Mycobacterium abscessus 16S rRNA mutation conferring resistance to kanamycin",ARO:3003236
,CU458896.1,"Mycobacterium abscessus 16S rRNA mutation conferring resistance to neomycin",ARO:3003238
,CU458896.1,"Mycobacterium abscessus 16S rRNA mutation conferring resistance to tobramycin",ARO:3003237
CDO45096.1,BX248333,"Mycobacterium bovis embB mutations conferring resistance to ethambutol",ARO:3003325
CAL71877,AM408590,"Mycobacterium bovis mutant ndh conferring resistance to isoniazid",ARO:3003779
,NR_114659.1,"Mycobacterium chelonae 16S rRNA mutation conferring resistance to amikacin",ARO:3003514
,NR_114659.1,"Mycobacterium chelonae 16S rRNA mutation conferring resistance to gentamicin C",ARO:3003517
,NR_114659.1,"Mycobacterium chelonae 16S rRNA mutation conferring resistance to kanamycin A",ARO:3003515
,NR_114659.1,"Mycobacterium chelonae 16S rRNA mutation conferring resistance to neomycin",ARO:3003518
,NR_114659.1,"Mycobacterium chelonae 16S rRNA mutation conferring resistance to tobramycin",ARO:3003516
CAC29732.1,AL450380,"Mycobacterium leprae dapsone resistant folP mutants",ARO:3003389
CAC29513.1,AL450380,"Mycobacterium leprae gyrB conferring resistance to fluoroquinolone",ARO:3003304
CAC30845.1,AL450380,"Mycobacterium leprae rpoB mutants conferring resistance to rifampicin",ARO:3003284
,NC_008596.1,"Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to hygromycin B",ARO:3003539
,NC_008596.1,"Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to kanamycin A",ARO:3003543
,NC_008596.1,"Mycobacterium smegmatis 16S rRNA mutation in the rrsA gene conferring resistance to neomycin",ARO:3003544
,NC_008596.1,"Mycobacterium smegmatis 16S rRNA mutation  in the rrsA gene conferring resistance to viomycin",ARO:3003546
,NC_008596.1,"Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to hygromycin B",ARO:3003540
,NC_008596.1,"Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A",ARO:3003542
,NC_008596.1,"Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to neomycin",ARO:3003545
,NC_008596.1,"Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to streptomycin",ARO:3003541
,NC_008596.1,"Mycobacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to viomycin",ARO:3003547
WP_038583059,NZ_CP009496,"Mycobacterium smegmatis mutant ndh conferring resistance to isoniazid",ARO:3003778
,AL123456.3,"Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to amikacin",ARO:3003481
,AL123456.3,"Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to kanamycin",ARO:3003436
,AL123456.3,"Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to streptomycin",ARO:3003480
,AL123456.3,"Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin",ARO:3003437
AFN51820.1,CP003248,"Mycobacterium tuberculosis embA mutant conferring resistance to ethambutol",ARO:3003453
AAK48268.1,AE000516,"Mycobacterium tuberculosis embB mutants conferring resistance to rifampicin",ARO:3003465
CCP46624.1,AL123456,"Mycobacterium tuberculosis embB mutations conferring resistance to ethambutol",ARO:3003326
CCP44023.1,AL123456,"Mycobacterium tuberculosis embR mutant conferring resistance to ethambutol",ARO:3003455
AAK48336.1,AE000516,"mycobacterium tuberculosis ethA mutant conferring resistance to ethionamide",ARO:3003458
CCP46748.1,AL123456,"Mycobacterium tuberculosis gidB mutation conferring resistance to streptomycin",ARO:3003470
CCP42728.1,AL123456,"Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones",ARO:3003295
CAA55486.1,NC_009525.1,"Mycobacterium tuberculosis gyrB mutant conferring resistance to fluoroquinolone",ARO:3003459
CCP44244.1,AL123456,"Mycobacterium tuberculosis inhA mutations conferring resistance to isoniazid",ARO:3003393
CCP43072.1,AL123456,"Mycobacterium tuberculosis iniA mutant conferring resistance to Ethambutol",ARO:3003448
CCP43073.1,AL123456,"Mycobacterium tuberculosis iniC mutant conferring resistance to ethambutol",ARO:3003451
CCP45025.1,AL123456,"Mycobacterium tuberculosis kasA mutant conferring resistance to isoniazid",ARO:3003463
NP_216424.1,NC_000962.3,"Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid",ARO:3003392
CCE36834,HE608151,"Mycobacterium tuberculosis murA",ARO:3003784
AFN51819.1,CP003248,"Mycobacterium tuberculosis mutant embC conferring resistance to ethambutol",ARO:3003327
CCP44620.1,AL123456,"Mycobacterium tuberculosis ndh mutant conferring resistance to isoniazid",ARO:3003461
CCP44816.1,AL123456,"Mycobacterium tuberculosis pncA mutations conferring resistance to pyrazinamide",ARO:3003394
CCP43410.1,AL123456,"Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin",ARO:3003283
AAK44936.1,AE000516,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin",ARO:3003395
AAK46002.1,AE000516,"Mycobacterium tuberculosis tlyA mutations conferring resistance to aminoglycosides",ARO:3003445
CAC29514.1,AL450380,"Mycobaterium leprae gyrA conferring resistance to fluoroquinolones",ARO:3003298
AKJ52802.1,CP011538.1,"Mycoplasma hominis parC conferring resistance to fluoroquinolone",ARO:3003310
BAA03674.1,D16099,myrA,ARO:3001300
NP_252410.1,NC_002516,nalC,ARO:3000818
NP_252264.1,NC_002516,nalD,ARO:3000819
CAZ39946.1,FN396876,NDM-1,ARO:3000589
AGT37351.1,KF361506,NDM-10,ARO:3002360
BAO79439.1,AB926431,NDM-12,ARO:3002362
BAQ02518.1,LC012596,NDM-13,ARO:3003182
AJP18054.1,KM210086.1,NDM-14,ARO:3003183
AEA41876.1,JF703135,NDM-2,ARO:3000590
AFK80349.1,JQ734687,NDM-3,ARO:3002354
AFB82585.1,JQ348841,NDM-4,ARO:3002355
AEN03071.1,JN104597,NDM-5,ARO:3000467
AEX08599.1,JN967644,NDM-6,ARO:3002356
AFQ31613.1,JX262694,NDM-7,ARO:3002357
BAM84089.1,AB744718,NDM-8,ARO:3002358
AGU91756.1,KC999080,NDM-9,ARO:3002359
,NR_103917.1,"Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin",ARO:3003495
YP_207769.1,NC_002946.2,"Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones",ARO:3003928
AAB57788.1,U75641,"Neisseria gonorrhoeae mutant porin PIB (por) with reduced permeability to antibiotic",ARO:3000464
YP_208330.1,NC_002946.2,"Neisseria gonorrhoeae parC conferring resistance to fluoroquinolone",ARO:3003929
,NR_103915.1,"Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin",ARO:3003497
NP_273462.1,NC_003112.2,"Neisseria meningititis PBP2 conferring resistance to beta-lactam",ARO:3003937
NP_253290.1,NC_002516,nfxB,ARO:3000820
CAA79967.1,Z21956,"NmcA beta-lactamase",ARO:3003589
CAA79966.1,Z21956,NmcR,ARO:3003665
AAS68233.1,AY566250,norA,ARO:3000391
CCQ22388.1,HE999704,norB,ARO:3000421
AAF67494.2,AF170880,novA,ARO:3002522
BAF80809.1,AB261016,npmA,ARO:3002665
CAA33795.1,X15791,"NPS beta-lactamase",ARO:3003563
CAG39034,BX571856,"nybomycin resistant gyrA",ARO:3003782
CAC04522.1,AJ401618,OCH-1,ARO:3002514
CAC17622.1,AJ295340,OCH-2,ARO:3002515
CAC17623.1,AJ295341,OCH-3,ARO:3002516
CAC17624.1,AJ295342,OCH-4,ARO:3002517
CAC17625.1,AJ295343,OCH-5,ARO:3002518
CAC17626.1,AJ295344,OCH-6,ARO:3002519
CAC17627.1,AJ295345,OCH-7,ARO:3002520
ABF50909.1,DQ489307,OCH-8,ARO:3002521
CAG25812.2,AJ635401,OKP-A-1,ARO:3002418
CAJ19608.1,AM051149,OKP-A-10,ARO:3002427
CAP12353.2,AM850915,OKP-A-11,ARO:3002428
CAP12354.2,AM850916,OKP-A-12,ARO:3002429
ACL68096.1,FJ534513,OKP-A-13,ARO:3002430
ACL68095.1,FJ534512,OKP-A-14,ARO:3002431
ACN65419.1,FJ755841,OKP-A-15,ARO:3002432
ACN65418.1,FJ755840,OKP-A-16,ARO:3002433
CAG25815.2,AJ635404,OKP-A-2,ARO:3002419
CAJ19599.1,AM051140,OKP-A-3,ARO:3002420
CAJ19601.1,AM051142,OKP-A-4,ARO:3002421
CAJ19602.1,AM051143,OKP-A-5,ARO:3002422
CAJ19603.1,AM051144,OKP-A-6,ARO:3002423
CAJ19605.1,AM051146,OKP-A-7,ARO:3002424
CAJ19606.1,AM051147,OKP-A-8,ARO:3002425
CAJ19607.1,AM051148,OKP-A-9,ARO:3002426
CAG25813.2,AJ635402,OKP-B-1,ARO:3002434
CAJ19619.1,AM051160,OKP-B-10,ARO:3002443
CAJ19620.1,AM051161,OKP-B-11,ARO:3002444
CAG25831.1,AJ635420,OKP-B-12,ARO:3002445
AAV80715.1,AY825330,OKP-B-13,ARO:3002446
CAP12357.2,AM850919,OKP-B-17,ARO:3002450
CAP12358.1,AM850920,OKP-B-18,ARO:3002451
CAP12359.2,AM850921,OKP-B-19,ARO:3002452
CAJ19610.1,AM051151,OKP-B-2,ARO:3002435
CAP12360.2,AM850922,OKP-B-20,ARO:3002453
CAJ19611.1,AM051152,OKP-B-3,ARO:3002436
CAJ19612.1,AM051153,OKP-B-4,ARO:3002437
CAP12356.2,AM850918,OKP-B-5,ARO:3002438
